"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
18,"0","3","1",1308333.33333333,"7","3",37,"2","1","0","3",48,950000,4618.0556640625,1008333.3125,7e+05,4901.6201171875,1008333.3125,4901.6201171875,"1","0",1636072.34663713,14.0842646205305
53,"1","3","0",4e+05,"5","1",30,"2","4","0","1",20,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","1",1636072.34663713,12.8992198260901
39,"1","4","0",737717,"7","2",24,"2","4","0","2",20,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,737717,8606.6982421875,"1","0",3866322.2277235,13.5113155612049
41,"0","4","1",6716666.66666667,"7","1",84,"2","1","1","5",48,5e+06,24305.5546875,5416666.5,5e+06,26331.017578125,5416666.5,26331.017578125,"0","1",3866322.2277235,15.7201025576889
58,"0","4","1",1300000,"6","1",240,"2","5","0","3",36,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","1",3866322.2277235,14.0778748224318
33,"0","4","1",650000,"7","3",8,"2","1","0","3",30,650000,5055.5556640625,650000,1117460.30167986,5055.5556640625,650000,5055.5556640625,"1","0",3866322.2277235,13.3847276418718
51,"0","4","0",8e+05,"6","2",240,"2","5","1","3",56,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","0",3866322.2277235,13.5923670066501
59,"1","3","0",750000,"7","1",240,"2","4","1","1",30,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,750000,5833.33349609375,"0","1",1636072.34663713,13.5278284855125
49,"1","2","0",450000,"6","2",120,"2","4","1","1",70,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,66666.6640625,222.222213745117,"0","0",1131978.87310825,13.0170028617465
53,"0","2","1",849857,"6","1",24,"2","1","0","5",48,737717,3586.12426757812,849857,0,4131.24951171875,849857,4131.24951171875,"1","1",1131978.87310825,13.6528233790192
60,"0","3","0",897717,"4","1",240,"2","3","0","1",45,737717,3825.19921875,737717,1117460.30167986,3825.19921875,737717,3825.19921875,"1","1",1636072.34663713,13.7076101528496
